published_fy,pref_code,pref_name,area_code,area_name,year,report_rate
R7,01,北海道,0101,南渡島,2015,0.9384615384615385
R7,01,北海道,0101,南渡島,2018,1
R7,01,北海道,0101,南渡島,2019,1
R7,01,北海道,0101,南渡島,2020,1
R7,01,北海道,0101,南渡島,2021,1
R7,01,北海道,0101,南渡島,2022,0.9444444444444444
R7,01,北海道,0101,南渡島,2023,0.9230769230769231
R7,01,北海道,0101,南渡島,2024,1
R7,01,北海道,0101,南渡島,2025,1
R7,01,北海道,0102,南檜山,2015,1
R7,01,北海道,0102,南檜山,2018,1
R7,01,北海道,0102,南檜山,2019,1
R7,01,北海道,0102,南檜山,2020,0.875
R7,01,北海道,0102,南檜山,2021,1
R7,01,北海道,0102,南檜山,2022,1
R7,01,北海道,0102,南檜山,2023,1
R7,01,北海道,0102,南檜山,2024,1
R7,01,北海道,0102,南檜山,2025,1
R7,01,北海道,0103,北渡島檜山,2015,1
R7,01,北海道,0103,北渡島檜山,2018,1
R7,01,北海道,0103,北渡島檜山,2019,1
R7,01,北海道,0103,北渡島檜山,2020,1
R7,01,北海道,0103,北渡島檜山,2021,1
R7,01,北海道,0103,北渡島檜山,2022,1
R7,01,北海道,0103,北渡島檜山,2023,1
R7,01,北海道,0103,北渡島檜山,2024,1
R7,01,北海道,0103,北渡島檜山,2025,1
R7,01,北海道,0104,札幌,2015,0.9673024523160763
R7,01,北海道,0104,札幌,2018,0.9786096256684492
R7,01,北海道,0104,札幌,2019,0.9750692520775623
R7,01,北海道,0104,札幌,2020,0.9495798319327731
R7,01,北海道,0104,札幌,2021,0.9744318181818182
R7,01,北海道,0104,札幌,2022,0.9533527696793003
R7,01,北海道,0104,札幌,2023,0.9532163742690059
R7,01,北海道,0104,札幌,2024,0.972972972972973
R7,01,北海道,0104,札幌,2025,0.972972972972973
R7,01,北海道,0105,後志,2015,0.9333333333333333
R7,01,北海道,0105,後志,2018,0.9777777777777777
R7,01,北海道,0105,後志,2019,1
R7,01,北海道,0105,後志,2020,1
R7,01,北海道,0105,後志,2021,0.9444444444444444
